cfg,is_net,is_trades_day,is_fills_day,is_volume,is_win_rate,is_max_dd,is_sharpe_h,is_bps_vol,oos_net,oos_trades_day,oos_fills_day,oos_volume,oos_win_rate,oos_max_dd,oos_sharpe_h,oos_bps_vol
"{""tp"": 12, ""sl"": 4, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""vol_k"": 2.0}",-98.14661970698398,450.600842056685,901.20168411337,343992.35019745707,0.2953488372093023,98.14661970698398,-107.4581397517962,-2.853162858146301,-35.2995981625063,277.44135236285257,555.66865756526,141399.70020179462,0.3286118980169972,35.60373499571324,-76.38853337780377,-2.4964408066020978
"{""tp"": 6, ""sl"": 8, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-93.64156768001884,429.1187088888663,858.7613722452404,327789.88353330566,0.5628815628815629,93.67564346805555,-116.35272819759916,-2.856755878816017,-35.45457714056829,279.0132580419622,558.8124689234793,142198.59174368414,0.5943661971830986,35.68432847080112,-89.16143784163776,-2.493314223848003
"{""tp"": 10, ""sl"": 6, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 600, ""score_thr"": 0.35, ""regime"": null}",-95.34259064465004,423.3552097462808,847.2343739600694,323390.876374877,0.3910891089108911,95.34259064465004,-124.5971586737514,-2.948215228376704,-35.52185389794249,282.9430222397364,565.8860444794727,143999.4009689128,0.4388888888888889,35.821813897942775,-79.22450577180949,-2.4668056713382507
"{""tp"": 1000000.0, ""sl"": 6, ""trail_act"": 6, ""trail_dist"": 3, ""max_hold_s"": 300, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-93.23798068867836,431.7384812264052,863.4769624528103,329598.7587978065,0.2305825242718446,93.26626763374588,-139.09676419283502,-2.8288328824040114,-35.52659971655885,276.6553995232978,553.3107990465955,140801.8377164944,0.2357954545454545,35.66869212099664,-113.3733090817702,-2.5231630703636085
"{""tp"": 1000000.0, ""sl"": 6, ""trail_act"": 6, ""trail_dist"": 3, ""max_hold_s"": 300, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-93.23798068867836,431.7384812264052,863.4769624528103,329598.7587978065,0.2305825242718446,93.26626763374588,-139.09676419283502,-2.8288328824040114,-35.52659971655885,276.6553995232978,553.3107990465955,140801.8377164944,0.2357954545454545,35.66869212099664,-113.3733090817702,-2.5231630703636085
"{""tp"": 6, ""sl"": 8, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 0, ""vol_k"": 2.0}",-90.97475999044764,427.546845486343,855.093690972686,326390.7734159199,0.571078431372549,90.97475999044764,-117.7784450954652,-2.787295701968832,-35.56091513040519,274.29754100463333,549.3810348488214,139796.32175801374,0.5902578796561605,35.79068741650735,-85.7475133147243,-2.543766150869179
"{""tp"": 8, ""sl"": 4, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 600, ""score_thr"": 0.6, ""regime"": [""no_chase"", 0.2]}",-96.56980453638062,439.073843771514,878.6716420105358,335394.2346690136,0.3723150357995227,96.56980453638062,-119.73180563897466,-2.8792923239029817,-35.62377600601758,275.869446683743,552.5248462070407,140600.22054674284,0.4074074074074074,35.86527046563242,-82.74569072912092,-2.5336927543562693
"{""tp"": 8, ""sl"": 6, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-93.93930242896568,433.3103446289285,867.1446437253646,330987.75384547084,0.4510278113663845,93.93930242896568,-113.35058853166431,-2.838150394918338,-35.67362399565536,275.869446683743,552.5248462070407,140599.82900184448,0.4786324786324786,35.9106160880674,-86.07059018654073,-2.537245190759611
"{""tp"": 12, ""sl"": 4, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.35, ""regime"": null}",-99.12803012677432,452.69665992671605,905.393319853432,345592.50389701047,0.2939814814814814,99.12803012677432,-109.48410787016196,-2.8683501235986104,-35.768511267922804,281.3711165606267,563.5281859608082,143399.27068317507,0.329608938547486,36.072648101129744,-77.68530600243076,-2.4943300685921477
"{""tp"": 6, ""sl"": 6, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""vol_k"": 1.0}",-97.88050469512018,451.1247965241928,902.2495930483856,344389.737449254,0.5063879210220673,97.88050469512018,-94.57326380634026,-2.842143480234887,-35.92445673224756,275.0834938441881,550.9529405279311,140197.9337064056,0.5428571428571428,36.19339550608856,-67.6905695471364,-2.5624098574432974
