variant,segment,net,gross,fees,volume,fills,trades,fills_per_day,trades_per_day,volume_per_day,net_bps_of_volume,win_rate,avg_win,avg_loss,max_dd,sharpe_hourly_ann,long_trades,short_trades,long_pnl,short_pnl,hours,net_with_funding,cfg,fills_pct_of_current,HF_ok(>=70%)
A current (TP6/SL6 taker),full,-190.33876410779158,6.012467509215066,196.3781414084803,654593.8046949258,3273,1636,1028.9289070034338,514.3072691285113,205783.83379039692,-2.9077385508788796,0.5134474327628362,0.029494984468891948,-0.27020284026775304,190.47664702162183,-130.17106659002627,1326,310,-159.2113913576438,-31.09428254161839,76.34346694444444,-190.45758863851006,{},100.0,True
A current (TP6/SL6 taker),IS,-133.71518146448943,3.016549931350985,136.61780779585416,455392.6926528415,2277,1138,1193.0443225151998,596.260184023846,238605.03578585063,-2.936261025304247,0.507908611599297,0.031030827842388774,-0.27049477920964643,133.71518146448943,-151.2579149501413,919,219,-112.42475499426209,-21.116502870239216,45.805506944444446,,{},100.0,True
A current (TP6/SL6 taker),OOS,-56.528263645355764,3.1452049620120697,59.700378398840634,199001.26132946723,995,497,782.023075357049,390.6185612587471,156405.6064168862,-2.8405982589109002,0.5271629778672032,0.02610674985102491,-0.2695112421182837,56.716335602262916,-104.56432270560698,406,91,-46.51739376544898,-9.977779671379173,30.536183333333334,,{},100.0,True
B taker entry + maker TP 6 / SL6,full,-181.35547218353167,-18.979578257461778,162.4028037175428,652982.2790584641,3265,1632,1026.4139570321452,513.0497941428671,205277.22049625317,-2.777341407258836,0.5128676470588235,0.03999290322579823,-0.2701842037421316,181.49335509736193,-120.90866901289425,1323,309,-150.44877081794667,-30.873611157054796,76.34346694444444,-181.47429671425016,"{""entry_exec"": ""taker"", ""tp_exec"": ""maker""}",99.75557592422854,True
B taker entry + maker TP 6 / SL6,IS,-128.32994107925697,-15.008498462796247,113.20751901647421,454184.7967215778,2271,1135,1189.900595710153,594.6883206213226,237972.15331638054,-2.82550058931024,0.507488986784141,0.03999312499999177,-0.27046879692176234,128.32994107925697,-138.663858362083,917,218,-107.01048467544777,-21.145532803822125,45.805506944444446,,"{""entry_exec"": ""taker"", ""tp_exec"": ""maker""}",99.7364953886693,True
B taker entry + maker TP 6 / SL6,OOS,-52.93021210632651,-3.821792410517537,49.13532948728164,198597.63162427038,993,496,780.4511696779396,389.8326084191923,156088.37250395806,-2.6651985561673723,0.5262096774193549,0.03999241379309525,-0.2695112421182837,53.11828406323366,-99.00595466440164,405,91,-43.16904354456615,-9.728078353232668,30.536183333333334,,"{""entry_exec"": ""taker"", ""tp_exec"": ""maker""}",99.79899497487436,True
"C maker entry(60s)+maker TP 6/SL6, sticky600",full,-142.48644673207127,-60.38769717245765,82.16162975854222,508162.2858618067,2541,1270,798.8109846305301,399.24830794205957,159750.34077976024,-2.8039555609764406,0.3826771653543307,0.07999274074073207,-0.2313849476160659,142.6589627989306,-115.19175985708996,1026,244,-115.50684240718392,-27.022484523815976,76.34346694444444,-142.5410452035776,"{""entry_exec"": ""maker"", ""tp_exec"": ""maker"", ""maker_wait_s"": 60, ""sticky_s"": 600}",77.63519706691109,True
"C maker entry(60s)+maker TP 6/SL6, sticky600",IS,-100.28557374808042,-42.765117151825535,57.40677020219297,354971.660673972,1775,887,930.0191798262975,464.7476126793949,185988.98744878097,-2.825171270226806,0.38218714768883877,0.07999302654866469,-0.23224365575550107,100.32018210592287,-134.84565823366353,715,172,-82.01512392322533,-18.136763430791927,45.805506944444446,,"{""entry_exec"": ""maker"", ""tp_exec"": ""maker"", ""maker_wait_s"": 60, ""sticky_s"": 600}",77.95344751866492,True
"C maker entry(60s)+maker TP 6/SL6, sticky600",OOS,-42.04758429624599,-17.37555483126762,24.734909663907246,153390.87221302433,767,383,602.8258279385493,301.0199375494973,120557.9915776175,-2.7412051114652796,0.38642297650130547,0.07999205405404371,-0.22948633402201454,42.27568104833881,-90.32628305583145,311,72,-33.20474340215091,-8.885721093024046,30.536183333333334,,"{""entry_exec"": ""maker"", ""tp_exec"": ""maker"", ""maker_wait_s"": 60, ""sticky_s"": 600}",77.0854271356784,True
"D taker, maker TP6 / SL4, funding tilt",full,-147.14456102957047,-6.354230136958455,140.79033089261117,553193.9296420309,2766,1383,869.543952573021,434.7719762865105,173906.88218377918,-2.6599091773256984,0.45480838756326825,0.03999376152622488,-0.22851543372621186,147.14456102957047,-129.85575742870958,1074,309,-115.95895836385637,-31.18560266571192,76.34346694444444,-147.24358807536373,"{""tp"": 6, ""sl"": 4, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""fund_tilt"": true}",84.5096241979835,True
